tweet_id,author_id,text,created_at,source,retweet_count,reply_count,like_count,quote_count,author_created_at,author_followers_count,author_tweet_count,author_verified,author_location,engagement_score,sentiment_polarity,sentiment_label,hashtags,mentions,urls,tweet_count,total_engagement,hostile_tweet_count,author_hostility_score,bot_score,latitude,longitude
1962160784836100513,1720665183188922368,"@Piyush05092152 @MohsinAnsa24152 @himantabiswa Based on Global Terrorism Index 2025, top groups include Islamic State (1,805 deaths) and Tehrik-e-Taliban Pakistan (558 deaths), mostly jihadist. No Hindu groups are listed in major indices like GTI or US/UK proscribed lists. Allegations of ""saffron terror"" (e.g., Samjhauta",2025-08-31 14:29:20+00:00,,0,1,0,0,2023-11-04 04:52:34+00:00,6143904,43668194,True,wherever you are,1.5,0.265625,Positive,[],"['Piyush05092152', 'MohsinAnsa24152', 'himantabiswa']",[],6,8.0,0.0,0.0,0.0,,
1962146684403892594,1720665183188922368,"@sammypurpose @RantStormmm @stats_feed Reports from EFI, UCF, and USCIRF in 2024-2025 point to Hindu nationalist groups like Bajrang Dal, VHP, and RSS affiliates as primary sources of violence against Christians in India. Some incidents involve local mobs or police, and in Manipur, ethnic tensions with Meitei",2025-08-31 13:33:19+00:00,,0,1,0,0,2023-11-04 04:52:34+00:00,6143904,43668194,True,wherever you are,1.5,0.2,Positive,[],"['sammypurpose', 'RantStormmm', 'stats_feed']",[],6,8.0,0.0,0.0,0.0,,
1962152646175031497,1516952032095178754,several murder attempts using police of India and USA Hindu and Sikh extremists and mobs since 2003 in India and the USA and murdered my Alpeshv's non-hindu brother in-law  and a cousin sister using CIA's  real or fake operatives &amp; advanced intel technology as per community.,2025-08-31 13:57:00+00:00,,0,1,0,0,2022-04-21 01:29:12+00:00,1,1197,False,"Skokie, IL",1.5,-0.11666666666666665,Hostile,[],[],[],2,3.0,1.0,50.0,49.5,42.0262972,-87.7521069
1962169864166273522,1859877355071877120,"Security Issues: Uri, Pulwama attacks; 72% rise in soldier deaths. China encroached Ladakh; Kashmir unrest persists.
Social Tensions: Rise in Dalit/minority atrocities; SC/ST scholarships cut 40%. Communal rhetoric criticized.",2025-08-31 15:05:25+00:00,,0,1,0,0,2024-11-22 08:31:41+00:00,1,160,False,,1.5,0.03333333333333333,Neutral,[],[],[],1,1.5,0.0,0.0,60.869863013698634,,
1962046982564045205,1573884072337838080,@Fatima_Khatun01 M not defending this incident it was totaly wrong butThere have been more rape cases in india and western europe but i heard no one to raise their fucking voice against hindus and christians and it is obviously islamophobia,2025-08-31 06:57:08+00:00,,0,1,0,0,2022-09-25 03:56:30+00:00,7,229,False,Pakistan,1.5,-0.12,Hostile,[],['Fatima_Khatun01'],[],1,1.5,1.0,100.0,46.5,30.3308401,71.247499
1962069848709877983,1720665183188922368,"@socialmediatbn @ani_digital @ANI @RahulGandhi @PChidambaram_IN The term ""saffron terror"" was used by P. Chidambaram in 2010 to describe alleged Hindu extremist involvement in blasts like Malegaon, based on investigations then. It's been debated, with some viewing it as factual and others as political framing. On Rahul Gandhi, he has",2025-08-31 08:28:00+00:00,,0,1,0,0,2023-11-04 04:52:34+00:00,6143904,43668194,True,wherever you are,1.5,-0.05,Neutral,[],"['socialmediatbn', 'ani_digital', 'ANI', 'RahulGandhi', 'PChidambaram_IN']",[],6,8.0,0.0,0.0,0.0,,
1962104818304274926,1178138174196862976,"@abinash_013 @SatyajeetM72938 Highest atrocities Faced By Brahmins From Muslim Kings and British
Post Independence in Kashmir, Maharashtra, Tamilnadu other Parts of Country 
Majority Criminals in this Country So Called SC/ ST, OBC https://t.co/LjQlkHpG3u",2025-08-31 10:46:57+00:00,,0,1,0,0,2019-09-29 02:43:37+00:00,1881,37053,False,Hyderabad ,1.5,-0.0625,Hostile,[],"['abinash_013', 'SatyajeetM72938']",['https://t.co/LjQlkHpG3u'],1,1.5,1.0,100.0,0.0,17.360589,78.4740613
1961687537245655085,1455728871144402950,Interesting threads 🧵 Scammer Gaurav got exposed badly 😂 #IndiaOut #MAGA https://t.co/npRDFmUgYg,2025-08-30 07:08:49+00:00,,0,0,1,0,2021-11-03 02:49:59+00:00,426,4054,False,United States,1.0,-0.09999999999999992,Hostile,"['IndiaOut', 'MAGA']",[],['https://t.co/npRDFmUgYg'],1,1.0,1.0,100.0,0.0,39.7837304,-100.445882
1961759491147321725,1913458750674853888,"@Megatron_ron Until India continue to support Nazi israel illegal settlement in the Occupied Palestinian Territories (OPT) they should be banned from any commercial or relationship with other countries, like China, Russia, NK. #BoycottIndia.",2025-08-30 11:54:45+00:00,,0,0,1,0,2025-04-19 05:05:11+00:00,35,1913,False,,1.0,-0.20833333333333334,Hostile,['BoycottIndia'],['Megatron_ron'],[],1,1.0,1.0,100.0,64.14383561643835,,
1962121195744301132,1806293925122158593,"🚨 Disturbing from Janakpurdham, Nepal 🚨

Hindu devotees performing Sri Ganesh Murti Visarjan were brutally attacked with massive stone pelting by Islamist mobs.

These Jihadis are cancerous to any society. They don't even have a basic civic sense to adjust in society.

 When https://t.co/BwYbOikmnj",2025-08-31 11:52:02+00:00,,0,0,1,0,2024-06-27 11:50:22+00:00,74,424,False,,1.0,-0.34375,Hostile,[],[],['https://t.co/BwYbOikmnj'],1,1.0,1.0,100.0,13.0,,
